DY
189
20
life_expectancy_at_birth_years;expected_years_of_schooling_years;mean_years_of_schooling_years;gross_national_income_GNI_per_capita_2017_PPP_$;GNI_rank_minus_HDI_rank;GINI_coefficient_2010-2018;life_expectancy_at_birth_women_years;life_expectancy_at_birth_men_years;expected_years_of_schooling_women_years;expected_years_of_schooling_men_years;population_millions;healthy_life_expectancy_at_birth;health_expenditure_2017_%_GDP;GDP_2017_PPP_$_billions;labour_force_participation_rate_%_aged_15_or_older;%_share_of_seats_in_parliament_women;adolescent_birth_rate_girls_aged_15-19;predicted_population_2030;total_fertility_rate_per_woman_2015-2020;prison_population_per_100_000
Norway;82.4;18.1;12.9;66494;7;27.0;84.4;80.4;18.8;17.4;5.4;70.8;10.4;340.3;63.8;40.8;5.1;5.9;1.7;80;1
Ireland;82.3;18.7;12.7;68371;4;32.8;83.9;80.7;18.8;18.6;4.9;70.4;7.2;428.8;62.1;24.3;7.5;5.2;1.8;82;1
Switzerland;83.8;16.3;13.4;69394;3;32.7;85.6;81.9;16.2;16.4;8.6;72.0;12.3;588.5;68.3;38.6;2.8;9.2;1.5;77;1
Hong Kong China (SAR);84.9;16.9;12.3;62985;7;;87.7;82.0;17.1;16.8;7.4;;;449.6;60.1;;2.7;8.0;1.3;112;1
Iceland;83.0;19.1;12.8;54682;14;26.8;84.5;81.5;20.2;18.0;0.3;72.3;8.3;20.2;75.0;38.1;6.3;0.4;1.8;40;1
Germany;81.3;17.0;14.2;55314;11;31.9;83.7;78.9;16.9;17.0;83.5;69.7;11.2;4473.8;60.8;31.6;8.1;83.1;1.6;79;1
Sweden;82.8;19.5;12.5;54508;12;28.8;84.6;81.0;20.4;18.6;10.0;71.4;11.0;547.2;64.6;47.3;5.1;10.6;1.9;61;1
Australia;83.4;22.0;12.7;48085;15;34.4;85.4;81.5;22.4;21.5;25.2;70.3;9.2;1262.0;65.5;36.6;11.7;28.2;1.8;173;1
Netherlands;82.3;18.5;12.4;57707;6;28.5;84.0;80.6;18.8;18.2;17.1;70.6;10.1;990.4;63.6;33.8;3.8;17.5;1.7;66;1
Denmark;80.9;18.9;12.6;58662;2;28.7;82.9;78.9;19.6;18.3;5.8;69.9;10.1;332.7;62.2;39.1;4.1;6.0;1.8;63;1
Finland;81.9;19.4;12.8;48511;11;27.4;84.7;79.1;20.2;18.6;5.5;70.3;9.2;268.4;59.1;47.0;5.8;5.6;1.5;54;1
Singapore;83.6;16.4;11.6;88155;-8;;85.7;81.5;16.7;16.3;5.8;74.5;4.4;555.2;70.5;23.0;3.5;6.3;1.2;208;1
United Kingdom;81.3;17.5;13.2;46071;13;34.8;83.0;79.6;18.0;17.0;67.5;69.1;9.6;3121.1;62.8;28.9;13.4;70.5;1.8;137;1
Belgium;81.6;19.8;12.1;52085;6;27.4;83.9;79.3;20.7;18.8;11.5;69.7;10.3;593.8;53.6;43.3;4.7;11.9;1.7;88;1
New Zealand;82.3;18.8;12.8;40799;18;;84.0;80.6;19.7;17.9;4.8;69.6;9.2;210.9;69.9;40.8;19.3;5.2;1.9;206;1
Canada;82.4;16.2;13.4;48527;5;33.8;84.4;80.4;16.7;15.7;37.4;70.4;10.6;1843.1;65.1;33.2;8.4;40.8;1.5;108;1
United States;78.9;16.3;13.4;63826;-7;41.4;81.4;76.3;16.9;15.7;329.1;65.4;17.1;20575.0;62.0;23.7;19.9;349.6;1.8;663;1
Austria;81.5;16.1;12.5;56197;-3;29.7;83.9;79.2;16.4;15.8;9.0;70.6;10.4;500.2;60.7;38.5;7.3;9.2;1.5;103;1
Israel;83.0;16.2;13.0;40187;14;39.0;84.5;81.3;16.8;15.6;8.5;71.8;7.4;363.6;64.0;23.3;9.6;10.0;3.0;231;1
Japan;84.6;15.2;12.9;42932;9;32.9;87.7;81.5;15.2;15.3;126.9;73.8;10.9;5231.1;61.7;14.5;3.8;120.8;1.4;40;1
Liechtenstein;80.7;14.9;12.5;131032;-18;;;;13.8;16.0;0.0;;;;;12.0;;0.0;;166;1
Slovenia;81.3;17.6;12.7;38080;15;24.2;84.0;78.6;18.3;16.8;2.1;70.4;8.2;80.8;58.4;22.3;3.8;2.1;1.6;67;1
Korea (Republic of);83.0;16.5;12.2;43044;4;31.6;86.0;79.9;15.9;17.0;51.2;72.3;7.6;2206.0;63.0;16.7;1.4;51.2;1.1;106;1
Luxembourg;82.3;14.3;12.3;72712;-19;34.9;84.3;80.2;14.3;14.2;0.6;71.0;5.5;71.0;59.3;25.0;4.7;0.7;1.5;108;1
Spain;83.6;17.6;10.3;40975;6;34.7;86.2;80.8;18.0;17.2;46.7;71.6;8.9;1924.7;57.5;41.9;7.7;46.2;1.3;126;1
France;82.7;15.6;11.5;47173;-1;31.6;85.5;79.7;16.0;15.3;65.1;71.5;11.3;3097.1;55.1;36.9;4.7;66.7;1.9;106;1
Czechia;79.4;16.8;12.7;38109;9;24.9;81.9;76.8;17.5;16.1;10.7;68.6;7.2;430.1;60.6;20.6;12.0;10.7;1.6;202;1
Malta;82.5;16.1;11.3;39555;6;29.2;84.3;80.7;16.5;15.7;0.4;71.1;9.3;21.8;56.5;14.9;12.9;0.4;1.5;141;1
Estonia;78.8;16.0;13.1;36019;9;30.4;82.7;74.4;16.8;15.2;1.3;68.1;6.4;48.7;63.6;29.7;7.7;1.3;1.6;195;1
